TIMESTAMP: 0.000000, X: 0.831702, Y: 18.492093, Z: -9.959415, PITCH: -0.089176, YAW: -0.321315
TIMESTAMP: 0.100000, X: 0.831703, Y: 18.492094, Z: -9.959413, PITCH: -0.089626, YAW: -0.322934
TIMESTAMP: 0.200000, X: 0.831721, Y: 18.492108, Z: -9.959383, PITCH: -0.092025, YAW: -0.331579
TIMESTAMP: 0.300000, X: 0.831796, Y: 18.492165, Z: -9.959259, PITCH: -0.094169, YAW: -0.339305
TIMESTAMP: 0.400000, X: 0.831988, Y: 18.492312, Z: -9.958937, PITCH: -0.094874, YAW: -0.341843
TIMESTAMP: 0.500000, X: 0.832378, Y: 18.492605, Z: -9.958282, PITCH: -0.095886, YAW: -0.345491
TIMESTAMP: 0.600000, X: 0.833058, Y: 18.493110, Z: -9.957132, PITCH: -0.097722, YAW: -0.352107
TIMESTAMP: 0.700000, X: 0.834130, Y: 18.493896, Z: -9.955306, PITCH: -0.099370, YAW: -0.358045
TIMESTAMP: 0.800000, X: 0.835703, Y: 18.495033, Z: -9.952607, PITCH: -0.100571, YAW: -0.362371
TIMESTAMP: 0.900000, X: 0.837891, Y: 18.496592, Z: -9.948827, PITCH: -0.101875, YAW: -0.367070
TIMESTAMP: 1.000000, X: 0.840808, Y: 18.498637, Z: -9.943749, PITCH: -0.103419, YAW: -0.372635
TIMESTAMP: 1.100000, X: 0.844566, Y: 18.501227, Z: -9.937157, PITCH: -0.104908, YAW: -0.377999
TIMESTAMP: 1.200000, X: 0.849275, Y: 18.504414, Z: -9.928831, PITCH: -0.106268, YAW: -0.382899
TIMESTAMP: 1.300000, X: 0.855037, Y: 18.508238, Z: -9.918557, PITCH: -0.107658, YAW: -0.387907
TIMESTAMP: 1.400000, X: 0.861949, Y: 18.512728, Z: -9.906127, PITCH: -0.109117, YAW: -0.393163
TIMESTAMP: 1.500000, X: 0.870096, Y: 18.517900, Z: -9.891343, PITCH: -0.110559, YAW: -0.398361
TIMESTAMP: 1.600000, X: 0.879556, Y: 18.523758, Z: -9.874018, PITCH: -0.111965, YAW: -0.403427
TIMESTAMP: 1.700000, X: 0.890393, Y: 18.530288, Z: -9.853980, PITCH: -0.113380, YAW: -0.408523
TIMESTAMP: 1.800000, X: 0.902659, Y: 18.537463, Z: -9.831072, PITCH: -0.114814, YAW: -0.413691
TIMESTAMP: 1.900000, X: 0.916392, Y: 18.545237, Z: -9.805153, PITCH: -0.116243, YAW: -0.418841
TIMESTAMP: 2.000000, X: 0.931619, Y: 18.553552, Z: -9.776103, PITCH: -0.117662, YAW: -0.423954
TIMESTAMP: 2.100000, X: 0.948348, Y: 18.562330, Z: -9.743821, PITCH: -0.119084, YAW: -0.429076
TIMESTAMP: 2.200000, X: 0.966577, Y: 18.571477, Z: -9.708228, PITCH: -0.120511, YAW: -0.434218
TIMESTAMP: 2.300000, X: 0.986287, Y: 18.580883, Z: -9.669266, PITCH: -0.121937, YAW: -0.439356
TIMESTAMP: 2.400000, X: 1.007444, Y: 18.590424, Z: -9.626898, PITCH: -0.123360, YAW: -0.444482
TIMESTAMP: 2.500000, X: 1.029999, Y: 18.599959, Z: -9.581112, PITCH: -0.124783, YAW: -0.449611
TIMESTAMP: 2.600000, X: 1.053892, Y: 18.609330, Z: -9.531916, PITCH: -0.126208, YAW: -0.454746
TIMESTAMP: 2.700000, X: 1.079046, Y: 18.618368, Z: -9.479344, PITCH: -0.127633, YAW: -0.459880
TIMESTAMP: 2.800000, X: 1.105371, Y: 18.626889, Z: -9.423450, PITCH: -0.129057, YAW: -0.465010
TIMESTAMP: 2.900000, X: 1.132767, Y: 18.634699, Z: -9.364310, PITCH: -0.130481, YAW: -0.470141
TIMESTAMP: 3.000000, X: 1.161119, Y: 18.641589, Z: -9.302025, PITCH: -0.131905, YAW: -0.475274
TIMESTAMP: 3.100000, X: 1.190302, Y: 18.647343, Z: -9.236712, PITCH: -0.133330, YAW: -0.480407
TIMESTAMP: 3.200000, X: 1.220183, Y: 18.651734, Z: -9.168512, PITCH: -0.134754, YAW: -0.485538
TIMESTAMP: 3.300000, X: 1.250616, Y: 18.654530, Z: -9.097585, PITCH: -0.136178, YAW: -0.490669
TIMESTAMP: 3.400000, X: 1.281450, Y: 18.655489, Z: -9.024109, PITCH: -0.137603, YAW: -0.495802
TIMESTAMP: 3.500000, X: 1.312526, Y: 18.654367, Z: -8.948277, PITCH: -0.139027, YAW: -0.500935
TIMESTAMP: 3.600000, X: 1.343678, Y: 18.650917, Z: -8.870301, PITCH: -0.140451, YAW: -0.506066
TIMESTAMP: 3.700000, X: 1.374738, Y: 18.644886, Z: -8.790407, PITCH: -0.141876, YAW: -0.511196
TIMESTAMP: 3.800000, X: 1.405531, Y: 18.636027, Z: -8.708833, PITCH: -0.143300, YAW: -0.516330
TIMESTAMP: 3.900000, X: 1.435884, Y: 18.624088, Z: -8.625831, PITCH: -0.144724, YAW: -0.521465
TIMESTAMP: 4.000000, X: 1.465619, Y: 18.608823, Z: -8.541661, PITCH: -0.146148, YAW: -0.526594
TIMESTAMP: 4.100000, X: 1.494562, Y: 18.589991, Z: -8.456593, PITCH: -0.147573, YAW: -0.531719
TIMESTAMP: 4.200000, X: 1.522537, Y: 18.567354, Z: -8.370903, PITCH: -0.148997, YAW: -0.536858
TIMESTAMP: 4.300000, X: 1.549374, Y: 18.540684, Z: -8.284874, PITCH: -0.150421, YAW: -0.542001
TIMESTAMP: 4.400000, X: 1.574905, Y: 18.509762, Z: -8.198793, PITCH: -0.151846, YAW: -0.547122
TIMESTAMP: 4.500000, X: 1.598969, Y: 18.474377, Z: -8.112946, PITCH: -0.153270, YAW: -0.552232
TIMESTAMP: 4.600000, X: 1.621411, Y: 18.434332, Z: -8.027622, PITCH: -0.154694, YAW: -0.557386
TIMESTAMP: 4.700000, X: 1.642083, Y: 18.389444, Z: -7.943108, PITCH: -0.156118, YAW: -0.562558
TIMESTAMP: 4.800000, X: 1.660847, Y: 18.339542, Z: -7.859687, PITCH: -0.157543, YAW: -0.567649
